nom_genre,nom_espece,nom_complet,annee_espece,annee_genre,autorite_espece
Bothriocera,cacus,Bothriocera cacus,1971,1835,"Fennah, 1971"
Bothriocera,cognita,Bothriocera cognita,1943,1835,"Caldwell, 1943"
Bothriocera,cotiso,Bothriocera cotiso,1971,1835,"Fennah, 1971"
Bothriocera,cyanea,Bothriocera cyanea,1943,1835,"Fennah, 1943"
Bothriocera,daedala,Bothriocera daedala,1943,1835,"Fennah, 1943"
Bothriocera,dampfi,Bothriocera dampfi,1943,1835,"Caldwell, 1943"
Bothriocera,datuna,Bothriocera datuna,1983,1835,"Kramer, 1983"
Bothriocera,diploneura,Bothriocera diploneura,1971,1835,"Fennah, 1971"
Bothriocera,drakei,Bothriocera drakei,1923,1835,"Metcalf, 1923"
Bothriocera,eborea,Bothriocera eborea,1943,1835,"Fennah, 1943"
Bothriocera,emeljanovi,Bothriocera emeljanovi,2006,1835,"O'Brien, 2006"
Bothriocera,excelsa,Bothriocera excelsa,1904,1835,"Fowler, 1904"
Bothriocera,fasciola,Bothriocera fasciola,1943,1835,"Caldwell, 1943"
Bothriocera,ferruginea,Bothriocera ferruginea,1971,1835,"Fennah, 1971"
Bothriocera,furcata,Bothriocera furcata,1943,1835,"Caldwell, 1943"
Bothriocera,haitiana,Bothriocera haitiana,1971,1835,"Fennah, 1971"
Bothriocera,hastata,Bothriocera hastata,1943,1835,"Fennah, 1943"
Bothriocera,hispaniolae,Bothriocera hispaniolae,1950,1835,"Caldwell, 1950"
Bothriocera,holzingeri,Bothriocera holzingeri,2006,1835,"O'Brien, 2006"
Bothriocera,knulli,Bothriocera knulli,1943,1835,"Caldwell, 1943"
Bothriocera,latens,Bothriocera latens,1971,1835,"Fennah, 1971"
Bothriocera,longistyla,Bothriocera longistyla,1943,1835,"Fennah, 1943"
Bothriocera,lua,Bothriocera lua,1971,1835,"Fennah, 1971"
Bothriocera,maculata,Bothriocera maculata,1943,1835,"Caldwell, 1943"
Bothriocera,metcalfi,Bothriocera metcalfi,1943,1835,"Caldwell, 1943"
Bothriocera,nigra,Bothriocera nigra,1904,1835,"Fowler, 1904"
Bothriocera,nysa,Bothriocera nysa,1971,1835,"Fennah, 1971"
Bothriocera,omani,Bothriocera omani,1983,1835,"Kramer, 1983"
Bothriocera,pachyneura,Bothriocera pachyneura,1971,1835,"Fennah, 1971"
Bothriocera,parvula,Bothriocera parvula,1798,1835,"Fabricius, 1798"
Bothriocera,pellucida,Bothriocera pellucida,1904,1835,"(Fowler, 1904)"
Bothriocera,phantasma,Bothriocera phantasma,1943,1835,"Fennah, 1943"
Bothriocera,regalis,Bothriocera regalis,1971,1835,"Fennah, 1971"
Bothriocera,riparia,Bothriocera riparia,1943,1835,"Fennah, 1943"
Bothriocera,signoreti,Bothriocera signoreti,1864,1835,"Stål, 1864"
Bothriocera,substigmatica,Bothriocera substigmatica,1881,1835,"(Lethierry, 1881)"
Bothriocera,tex,Bothriocera tex,1983,1835,"Kramer, 1983"
Bothriocera,tinealis,Bothriocera tinealis,1835,1835,"Burmeister, 1835"
Bothriocera,tinealis floridana,Bothriocera tinealis floridana,1928,1835,"Dozier, 1928"
Bothriocera,tinealis westwoodi,Bothriocera tinealis westwoodi,1856,1835,"Stål, 1856"
Bothriocera,transversa,Bothriocera transversa,1943,1835,"Caldwell, 1943"
Bothriocera,turcafa,Bothriocera turcafa,1983,1835,"Kramer, 1983"
Bothriocera,undata,Bothriocera undata,1803,1835,"(Fabricius, 1803)"
Bothriocera,venosa,Bothriocera venosa,1904,1835,"Fowler, 1904"
Bothriocera,westwoodi,Bothriocera westwoodi,1856,1835,"(Stål, 1856)"
Bothrioceretta,albidipennis,Bothrioceretta albidipennis,1904,1950,"(Fowler, 1904)"
Bothrioceretta,nigra,Bothrioceretta nigra,1904,1950,"(Fowler, 1904)"
Bothriocerodes,castaneus,Bothriocerodes castaneus,1904,1904,"Fowler, 1904"
Bothriocerodes,metallica,Bothriocerodes metallica,1904,1904,"Fowler, 1904"
Bothriocerodes,variegata,Bothriocerodes variegata,1904,1904,"Fowler, 1904"
Brixia,afrotropicalis,Brixia afrotropicalis,1984,1856,"Van Stalle, 1984"
Brixia,albomaculata,Brixia albomaculata,1906,1856,"Distant, 1906"
Brixia,albotincta,Brixia albotincta,1965,1856,"Synave, 1965"
Brixia,andranotobakensis,Brixia andranotobakensis,1965,1856,"Synave, 1965"
Brixia,andriae,Brixia andriae,1965,1856,"Synave, 1965"
Brixia,anosibeana,Brixia anosibeana,1956,1856,"Synave, 1956"
Brixia,antsalovensis,Brixia antsalovensis,1965,1856,"Synave, 1965"
Brixia,antsingensis,Brixia antsingensis,1965,1856,"Synave, 1965"
Brixia,apicemaculata,Brixia apicemaculata,1956,1856,"Synave, 1956"
Brixia,atratula,Brixia atratula,1870,1856,"Walker, 1870"
Brixia,atronervosa,Brixia atronervosa,1975,1856,"Williams, 1975"
Brixia,aurata,Brixia aurata,1960,1856,"Synave, 1960"
Brixia,aureotincta,Brixia aureotincta,1956,1856,"Synave, 1956"
Brixia,balteata,Brixia balteata,2001,1856,"Emeljanov, 2001"
Brixia,belanitrensis,Brixia belanitrensis,1965,1856,"Synave, 1965"
Brixia,bella,Brixia bella,1984,1856,"Van Stalle, 1984"
Brixia,belouvensis,Brixia belouvensis,1960,1856,"Synave, 1960"
Brixia,bemanavyensis,Brixia bemanavyensis,1965,1856,"Synave, 1965"
Brixia,bicolor,Brixia bicolor,1913,1856,"Muir, 1913"
Brixia,bimaculata,Brixia bimaculata,1965,1856,"Synave, 1965"
Brixia,bipunctata,Brixia bipunctata,1960,1856,"Synave, 1960"
Brixia,bipunctata,Brixia bipunctata,1984,1856,"Van Stalle, 1984"
Brixia,bohemani,Brixia bohemani,1854,1856,"(Stål, 1854)"
Brixia,bohemanni,Brixia bohemanni,1905,1856,"Melichar, 1905"
Brixia,briali,Brixia briali,2003,1856,"Hoch & Bonfils, 2003"
Brixia,broussei,Brixia broussei,1975,1856,"Williams, 1975"
Brixia,buruana,Brixia buruana,1926,1856,"Schmidt, 1926"
Brixia,calabarensis,Brixia calabarensis,1957,1856,"Synave, 1957"
Brixia,chicapensis,Brixia chicapensis,1961,1856,"Synave, 1961"
Brixia,concinnula,Brixia concinnula,1870,1856,"Walker, 1870"
Brixia,congrua,Brixia congrua,1870,1856,"Walker, 1870"
Brixia,coronata,Brixia coronata,1983,1856,"Van Stalle, 1983"
Brixia,costalis,Brixia costalis,1959,1856,"Synave, 1959"
Brixia,courtoisi,Brixia courtoisi,1975,1856,"Williams, 1975"
Brixia,decepta,Brixia decepta,1983,1856,"Williams, 1983"
Brixia,dedegwana,Brixia dedegwana,1960,1856,"Synave, 1960"
Brixia,denticulata,Brixia denticulata,1975,1856,"Williams, 1975"
Brixia,discolor,Brixia discolor,1975,1856,"Williams, 1975"
Brixia,divisa,Brixia divisa,1858,1856,"(Walker, 1858)"
Brixia,dundoensis,Brixia dundoensis,1961,1856,"Synave, 1961"
Brixia,electa,Brixia electa,1971,1856,"Synave, 1971"
Brixia,elongata,Brixia elongata,1911,1856,"Distant, 1911"
Brixia,fasciata,Brixia fasciata,1860,1856,"(Signoret, 1860)"
Brixia,flavida,Brixia flavida,1975,1856,"Williams, 1975"
Brixia,flavomaculata,Brixia flavomaculata,1906,1856,"Distant, 1906"
Brixia,formosana,Brixia formosana,1914,1856,"Matsumura, 1914"
Brixia,fulgida,Brixia fulgida,1907,1856,"Van Duzee, 1907"
Brixia,fumata,Brixia fumata,1983,1856,"Van Stalle, 1983"
Brixia,fuscata,Brixia fuscata,1983,1856,"Williams, 1983"
Brixia,fuscomarginata,Brixia fuscomarginata,1975,1856,"Williams, 1975"
Brixia,fuscosa,Brixia fuscosa,1907,1856,"Van Duzee, 1907"
Brixia,geometrina,Brixia geometrina,1911,1856,"Distant, 1911"
Brixia,griveaudi,Brixia griveaudi,1956,1856,"Synave, 1956"
Brixia,guttata,Brixia guttata,1870,1856,"Walker, 1870"
Brixia,harimaensis,Brixia harimaensis,1914,1856,"Matsumura, 1914"
Brixia,hildebrandti,Brixia hildebrandti,1917,1856,"Jacobi, 1917"
Brixia,humeralis,Brixia humeralis,1870,1856,"Walker, 1870"
Brixia,hyalinipennis,Brixia hyalinipennis,1965,1856,"Synave, 1965"
Brixia,inornata,Brixia inornata,1911,1856,"Distant, 1911"
Brixia,insignis,Brixia insignis,1917,1856,"(Distant, 1917)"
Brixia,insularis,Brixia insularis,1959,1856,"Synave, 1959"
Brixia,intertectus,Brixia intertectus,1870,1856,"Walker, 1870"
Brixia,ivelonensis,Brixia ivelonensis,1965,1856,"Synave, 1965"
Brixia,kalalavensis,Brixia kalalavensis,1965,1856,"Synave, 1965"
Brixia,krameri,Brixia krameri,1979,1856,"Synave, 1979"
Brixia,lalouettei,Brixia lalouettei,1975,1856,"Williams, 1975"
Brixia,lamelliceps,Brixia lamelliceps,1958,1856,"Fennah, 1958"
Brixia,lineata,Brixia lineata,1956,1856,"Synave, 1956"
Brixia,longispinosa,Brixia longispinosa,1984,1856,"Van Stalle, 1984"
Brixia,lunulata,Brixia lunulata,1843,1856,"(Amyot & Audinet-Serville, 1843)"
Brixia,macabeensis,Brixia macabeensis,1960,1856,"Synave, 1960"
Brixia,maculata,Brixia maculata,1965,1856,"Synave, 1965"
Brixia,mahensis,Brixia mahensis,1917,1856,"Distant, 1917"
Brixia,mameti,Brixia mameti,1958,1856,"Synave, 1958"
Brixia,marginata,Brixia marginata,1870,1856,"Walker, 1870"
Brixia,marojelyensis,Brixia marojelyensis,1965,1856,"Synave, 1965"
Brixia,mauritiensis,Brixia mauritiensis,1975,1856,"Williams, 1975"
Brixia,mauritii,Brixia mauritii,1859,1856,"Stål, 1859"
Brixia,mauritii,Brixia mauritii,1960,1856,"Synave, 1960"
Brixia,meander,Brixia meander,1851,1856,"(Walker, 1851)"
Brixia,meeli,Brixia meeli,1953,1856,"Synave, 1953"
Brixia,membranifera,Brixia membranifera,1987,1856,"Van Stalle, 1987"
Brixia,migratoria,Brixia migratoria,1907,1856,"Distant, 1907"
Brixia,minor,Brixia minor,1984,1856,"Van Stalle, 1984"
Brixia,modesta,Brixia modesta,1983,1856,"Van Stalle, 1983"
Brixia,montana,Brixia montana,1965,1856,"Synave, 1965"
Brixia,moramangensis,Brixia moramangensis,1965,1856,"Synave, 1965"
Brixia,munita,Brixia munita,1857,1856,"(Walker, 1857)"
Brixia,nanula,Brixia nanula,1870,1856,"Walker, 1870"
Brixia,natalicola,Brixia natalicola,1855,1856,"(Stål, 1855)"
Brixia,neglecta,Brixia neglecta,1983,1856,"Van Stalle, 1983"
Brixia,nigeriana,Brixia nigeriana,1971,1856,"Synave, 1971"
Brixia,nigrifrons,Brixia nigrifrons,1960,1856,"Synave, 1960"
Brixia,nigripennis,Brixia nigripennis,1975,1856,"Williams, 1975"
Brixia,nivea,Brixia nivea,1870,1856,"Walker, 1870"
Brixia,nosybeana,Brixia nosybeana,1965,1856,"Synave, 1965"
Brixia,nubila,Brixia nubila,1858,1856,"(Walker, 1858)"
Brixia,ocellata,Brixia ocellata,1914,1856,"Matsumura, 1914"
Brixia,opulenta,Brixia opulenta,1956,1856,"Synave, 1956"
Brixia,pallens,Brixia pallens,1983,1856,"Van Stalle, 1983"
Brixia,palliceps,Brixia palliceps,1870,1856,"Walker, 1870"
Brixia,parviceps,Brixia parviceps,1870,1856,"Walker, 1870"
Brixia,parvula,Brixia parvula,1956,1856,"Synave, 1956"
Brixia,pauliani,Brixia pauliani,1956,1856,"Synave, 1956"
Brixia,perate,Brixia perate,1984,1856,"Van Stalle, 1984"
Brixia,perruchensis,Brixia perruchensis,1960,1856,"Synave, 1960"
Brixia,personata,Brixia personata,1983,1856,"Van Stalle, 1983"
Brixia,pictipennis,Brixia pictipennis,1870,1856,"Walker, 1870"
Brixia,pilosa,Brixia pilosa,1975,1856,"Williams, 1975"
Brixia,plagosa,Brixia plagosa,1911,1856,"Distant, 1911"
Brixia,propinqua,Brixia propinqua,1983,1856,"Van Stalle, 1983"
Brixia,pulchra,Brixia pulchra,1965,1856,"Synave, 1965"
Brixia,pulla,Brixia pulla,1925,1856,"Muir, 1925"
Brixia,pullomaculata,Brixia pullomaculata,1954,1856,"Lallemand & Synave, 1954"
Brixia,puncticosta,Brixia puncticosta,1870,1856,"Walker, 1870"
Brixia,puncticosta beta,Brixia puncticosta beta,1870,1856,"Walker, 1870"
Brixia,ranomafanensis,Brixia ranomafanensis,1965,1856,"Synave, 1965"
Brixia,robinsoni,Brixia robinsoni,1965,1856,"Synave, 1965"
Brixia,rodriguezi,Brixia rodriguezi,1925,1856,"Muir, 1925"
Brixia,rosae,Brixia rosae,1965,1856,"Synave, 1965"
Brixia,rufula,Brixia rufula,1870,1856,"Walker, 1870"
Brixia,saegeri,Brixia saegeri,1960,1856,"Synave, 1960"
Brixia,sambavensis,Brixia sambavensis,1965,1856,"Synave, 1965"
Brixia,sanctae-mariae,Brixia sanctae-mariae,1965,1856,"Synave, 1965"
Brixia,sandrangatensis,Brixia sandrangatensis,1956,1856,"Synave, 1956"
Brixia,semistriata,Brixia semistriata,1983,1856,"Van Stalle, 1983"
Brixia,speciosa,Brixia speciosa,1923,1856,"Muir, 1923"
Brixia,stannusi,Brixia stannusi,1923,1856,"Muir, 1923"
Brixia,stellata,Brixia stellata,1917,1856,"Distant, 1917"
Brixia,striatipes,Brixia striatipes,1986,1856,"Van Stalle, 1986"
Brixia,strigosa,Brixia strigosa,1983,1856,"Van Stalle, 1983"
Brixia,subfasciata,Brixia subfasciata,1859,1856,"Stål, 1859"
Brixia,sublucida,Brixia sublucida,1870,1856,"Walker, 1870"
Brixia,subpunctata,Brixia subpunctata,1870,1856,"Walker, 1870"
Brixia,sundara,Brixia sundara,1975,1856,"Williams, 1975"
Brixia,sylvicola,Brixia sylvicola,1956,1856,"Synave, 1956"
Brixia,synavei,Brixia synavei,1984,1856,"Nast, 1984"
Brixia,tenebrosa,Brixia tenebrosa,1870,1856,"Walker, 1870"
Brixia,terminalis,Brixia terminalis,1870,1856,"Walker, 1870"
Brixia,testacea,Brixia testacea,1870,1856,"Walker, 1870"
Brixia,tincta,Brixia tincta,1956,1856,"Synave, 1956"
Brixia,tortriciformis,Brixia tortriciformis,1891,1856,"Kirby, 1891"
Brixia,tricolor,Brixia tricolor,1961,1856,"Synave, 1961"
Brixia,trifasciata,Brixia trifasciata,1956,1856,"Synave, 1956"
Brixia,tristis,Brixia tristis,1975,1856,"Williams, 1975"
Brixia,unipunctata,Brixia unipunctata,1965,1856,"Synave, 1965"
Brixia,unistriata,Brixia unistriata,1961,1856,"Synave, 1961"
Brixia,uvidensis,Brixia uvidensis,1975,1856,"Williams, 1975"
Brixia,varia,Brixia varia,1870,1856,"Walker, 1870"
Brixia,variegata,Brixia variegata,1870,1856,"Walker, 1870"
Brixia,variolata,Brixia variolata,1975,1856,"Williams, 1975"
Brixia,vaughani,Brixia vaughani,1975,1856,"Williams, 1975"
Brixia,venulosa,Brixia venulosa,1975,1856,"Williams, 1975"
Brixia,venusta,Brixia venusta,1991,1856,"Tsaur & Hsu, 1991"
Brixia,virgulata,Brixia virgulata,1975,1856,"Williams, 1975"
Brixia,viridis,Brixia viridis,1925,1856,"Muir, 1925"
Brixia,wagneri,Brixia wagneri,1958,1856,"Synave, 1958"
Brixia,williamsi,Brixia williamsi,1958,1856,"Synave, 1958"
Brixidia,boukokoensis,Brixidia boukokoensis,1980,1899,"Synave, 1980"
Brixidia,ghesquierei,Brixidia ghesquierei,1980,1899,"Synave, 1980"
Brixidia,haglundi,Brixidia haglundi,1923,1899,"Muir, 1923"
Brixidia,medleri,Brixidia medleri,1980,1899,"Synave, 1980"
Brixidia,nebulosa,Brixidia nebulosa,1899,1899,"Haglund, 1899"
Brixidia,pellucida,Brixidia pellucida,1983,1899,"Van Stalle, 1983"
Brixidia,pilosella,Brixidia pilosella,1983,1899,"Van Stalle, 1983"
Brixidia,rutshuruensis,Brixidia rutshuruensis,1980,1899,"Synave, 1980"
Brixidia,uncinata,Brixidia uncinata,1958,1899,"Fennah, 1958"
Brixidia,variabilis,Brixidia variabilis,1984,1899,"Van Stalle & Synave, 1984"
Caffrocixius,capeneri,Caffrocixius capeneri,1987,1967,"Van Stalle, 1987"
Caffrocixius,fennahi,Caffrocixius fennahi,1969,1967,"Synave, 1969"
Caffrocixius,metcalfi,Caffrocixius metcalfi,1987,1967,"Van Stalle, 1987"
Caffrocixius,muiri,Caffrocixius muiri,1987,1967,"Van Stalle, 1987"
Caffrocixius,personatus,Caffrocixius personatus,1967,1967,"Fennah, 1967"
Caffrocixius,synavei,Caffrocixius synavei,1987,1967,"(Van Stalle, 1987)"
Cajeta,helmsi,Cajeta helmsi,1922,1866,"(Muir, 1922)"
Cajeta,singularis,Cajeta singularis,1866,1866,"Stål, 1866"
Calamister,cougalensis,Calamister cougalensis,2014,1906,"Löcker, 2014"
Calamister,obscurus,Calamister obscurus,1906,1906,"Kirkaldy, 1906"
Caneirona,indica,Caneirona indica,1916,1916,"Distant, 1916"
Caneirona,maculipennis,Caneirona maculipennis,1917,1916,"Distant, 1917"
Carolus,carinatus,Carolus carinatus,2006,1906,"Löcker & Larivière, 2006"
Carolus,crispus,Carolus crispus,1906,1906,"Kirkaldy, 1906"
Carolus,stiriae,Carolus stiriae,2006,1906,"Löcker & Larivière, 2006"
Cermada,inexspectata,Cermada inexspectata,1999,2000,"(Larivière, 1999)"
Cermada,kermadecensis,Cermada kermadecensis,1924,2000,"(Myers, 1924)"
Cermada,punctimargo,Cermada punctimargo,1858,2000,"(Walker, 1858)"
Cermada,triregia,Cermada triregia,1999,2000,"(Larivière, 1999)"
Chathamaka,andrei,Chathamaka andrei,1999,1999,"Larivière, 1999"
Chidaea,dayi,Chidaea dayi,2000,2000,"Emeljanov, 2000"
Chlorodus,viridia,Chlorodus viridia,1918,1918,"Johnson & Ledig, 1918"
Ciocixius,dorsivittatus,Ciocixius dorsivittatus,1908,1923,"(Van Duzee, 1908)"
Cixiosoma,bonaerense,Cixiosoma bonaerense,1883,1879,"Berg, 1883"
Cixiosoma,caliginosum,Cixiosoma caliginosum,1965,1879,"Fennah, 1965"
Cixiosoma,platensis,Cixiosoma platensis,1879,1879,"Berg, 1879"
Cixius,albipennis,Cixius albipennis,1855,1804,"Stål, 1855"
Cixius,eurypterus,Cixius eurypterus,1868,1804,"Kirschbaum, 1868"
Cixius,gravelyi,Cixius gravelyi,1922,1804,"Muir, 1922"
Cixius,leporinus,Cixius leporinus,1761,1804,"Linné, 1761"
Cixius,longipennis,Cixius longipennis,1902,1804,"Melichar, 1902"
Cixius,nubilus,Cixius nubilus,1858,1804,"Walker, 1858"
Cixius,obscurus,Cixius obscurus,1865,1804,"Signoret, 1865"
Cixius,pinicola,Cixius pinicola,1876,1804,"Fieber, 1876"
Cixius,variegatus,Cixius variegatus,1855,1804,"Stål, 1855"
Cixius,venustulus,Cixius venustulus,1830,1804,"(Germar, 1830)"
Colvanalia,apicalis,Colvanalia apicalis,1954,1925,"(Metcalf, 1954)"
Colvanalia,concinnula,Colvanalia concinnula,1870,1925,"(Walker, 1870)"
Colvanalia,mavors,Colvanalia mavors,1970,1925,"Fennah, 1970"
Colvanalia,rumina,Colvanalia rumina,1969,1925,"Fennah, 1969"
Commolenda,deusta,Commolenda deusta,1911,1911,"Distant, 1911"
Confuga,persephone,Confuga persephone,1975,1975,"Fennah, 1975"
Cotyleceps,decorata,Cotyleceps decorata,1895,1895,"Uhler, 1895"
Cotyleceps,procellata,Cotyleceps procellata,1901,1895,"Uhler, 1901"
Cretofennahia,cretacea,Cretofennahia cretacea†,1988,2007,"(Martins-Neto, 1988)"
Cubana,bullata,Cubana bullata,1949,1895,"Fennah, 1949"
Cubana,castanea,Cubana castanea,1904,1895,"(Fowler, 1904)"
Cubana,cypassis,Cubana cypassis,1971,1895,"Fennah, 1971"
Cubana,haruspex,Cubana haruspex,1948,1895,"Fennah, 1948"
Cubana,insularis,Cubana insularis,1925,1895,"Muir, 1925"
Cubana,irrorata,Cubana irrorata,1895,1895,"Uhler, 1895"
Cubana,strix,Cubana strix,1948,1895,"Fennah, 1948"
Cubana,tortriciformis,Cubana tortriciformis,1924,1895,"Muir, 1924"
Cubana,tortrix,Cubana tortrix,1895,1895,"Uhler, 1895"
Cubana,trinitatis,Cubana trinitatis,1928,1895,"Myers, 1928"
Cubana,variegata,Cubana variegata,1904,1895,"(Fowler, 1904)"
Cubanella,haitiensis,Cubanella haitiensis,1950,1948,"Caldwell, 1950"
Cubanella,irrorata,Cubanella irrorata,1895,1948,"(Uhler, 1895)"
Cubanella,jamaicensis,Cubanella jamaicensis,1950,1948,"Caldwell, 1950"
Cubanella,nodosa,Cubanella nodosa,1949,1948,"Fennah, 1949"
Curiatus,insignis,Curiatus insignis,1917,1917,"Distant, 1917"
Cyclopoliarus,atkinsae,Cyclopoliarus atkinsae,1928,1945,"(Myers, 1928)"
Cyclopoliarus,biperforatus,Cyclopoliarus biperforatus,1945,1945,"(Fennah, 1945)"
Cyclopoliarus,hispaniolae,Cyclopoliarus hispaniolae,1971,1945,"Fennah, 1971"
Cyclopoliarus,jamaicensis,Cyclopoliarus jamaicensis,1945,1945,"Fennah, 1945"
Cyclopoliarus,montserratensis,Cyclopoliarus montserratensis,1945,1945,"Fennah, 1945"
Cyclopoliarus,naparimae,Cyclopoliarus naparimae,1945,1945,"Fennah, 1945"
Cyclopoliarus,omani,Cyclopoliarus omani,1938,1945,"(Metcalf, 1938)"
Cyclopoliarus,pirata,Cyclopoliarus pirata,1971,1945,"Fennah, 1971"
Diacira,intermaculata,Diacira intermaculata,1862,1862,"Stål, 1862"
Diastrocixius,apicatus,Diastrocixius apicatus,1944,1944,"Caldwell, 1944"
Diastrocixius,aurelus,Diastrocixius aurelus,1944,1944,"Caldwell, 1944"
Diastrocixius,magnus,Diastrocixius magnus,1944,1944,"Caldwell, 1944"
Diastrocixius,thelyus,Diastrocixius thelyus,1944,1944,"Caldwell, 1944"
Dorialus,conspersa,Dorialus conspersa,1996,1986,"(Walker, 1996)"
Dorialus,gezira,Dorialus gezira,1973,1986,"(Linnavuori, 1973)"
Duiliopsis,balachowskyi,Duiliopsis balachowskyi,1933,1933,"de Bergevin, 1933"
Duilius,arcufera,Duilius arcufera,1884,1858,"(Puton, 1884)"
Duilius,bagdadus,Duilius bagdadus,1954,1858,"Dlabola, 1954"
Duilius,balachowskyi,Duilius balachowskyi,1933,1858,"(de Bergevin, 1933)"
Duilius,bipunctata,Duilius bipunctata,1866,1858,"(Fieber, 1866)"
Duilius,fasciata,Duilius fasciata,1894,1858,"(Horváth, 1894)"
Duilius,gracilis,Duilius gracilis,1969,1858,"(Mitjaev, 1969)"
Duilius,letourneuxi,Duilius letourneuxi,1887,1858,"(Puton & Lethierry, 1887)"
Duilius,modestus,Duilius modestus,1894,1858,"(Horváth, 1894)"
Duilius,plagiata,Duilius plagiata,1888,1858,"(Lethierry, 1888)"
Duilius,seticulosa,Duilius seticulosa,1874,1858,"(Lethierry, 1874)"
Duilius,seticulosus,Duilius seticulosus,1874,1858,"(Lethierry, 1874)"
Duilius,suleiman,Duilius suleiman,1960,1858,"(Synave, 1960)"
Duilius,tamaricicola,Duilius tamaricicola,1966,1858,"(Dubovskiy, 1966)"
Duilius,tamaricis,Duilius tamaricis,1887,1858,"(Lethierry, 1887)"
Duilius,tenuis,Duilius tenuis,1858,1858,"Stål, 1858"
Duilius,vatrum,Duilius vatrum,1985,1858,"(Dlabola, 1985)"
Duilius,viridissima,Duilius viridissima,1960,1858,"(Dlabola, 1960)"
Duilius,viridula,Duilius viridula,1895,1858,"(Horváth, 1895)"
Dysoliarus,unicornis,Dysoliarus unicornis,1949,1949,"Fennah, 1949"
Dystheatias,aeneas,Dystheatias aeneas,1950,1907,"Fennah, 1950"
Dystheatias,balius,Dystheatias balius,1970,1907,"Fennah, 1970"
Dystheatias,baumanensis,Dystheatias baumanensis,1921,1907,"(Muir, 1921)"
Dystheatias,baumanensis odenatus,Dystheatias baumanensis odenatus,1967,1907,"Fennah, 1967"
Dystheatias,beecheyi,Dystheatias beecheyi,1907,1907,"Kirkaldy, 1907"
Dystheatias,bisignata,Dystheatias bisignata,1967,1907,"Fennah, 1967"
Dystheatias,boreas,Dystheatias boreas,1970,1907,"Fennah, 1970"
Dystheatias,carpus,Dystheatias carpus,1970,1907,"Fennah, 1970"
Dystheatias,cleon,Dystheatias cleon,1950,1907,"Fennah, 1950"
Dystheatias,clymene,Dystheatias clymene,1950,1907,"Fennah, 1950"
Dystheatias,ensicauda,Dystheatias ensicauda,1950,1907,"Fennah, 1950"
Dystheatias,fuscovenosa,Dystheatias fuscovenosa,1914,1907,"Melichar, 1914"
Dystheatias,lacon,Dystheatias lacon,1950,1907,"Kirkaldy, 1950"
Dystheatias,leucon,Dystheatias leucon,1967,1907,"Fennah, 1967"
Dystheatias,merenda,Dystheatias merenda,1967,1907,"Fennah, 1967"
Dystheatias,nigricosta,Dystheatias nigricosta,1950,1907,"Fennah, 1950"
Dystheatias,orpheus,Dystheatias orpheus,1956,1907,"Fennah, 1956"
Dystheatias,orphus,Dystheatias orphus,1956,1907,"Fennah, 1956"
Dystheatias,periander,Dystheatias periander,1967,1907,"Fennah, 1967"
Dystheatias,podarge,Dystheatias podarge,1970,1907,"Fennah, 1970"
Dystheatias,punctata,Dystheatias punctata,1914,1907,"Melichar, 1914"
Dystheatias,simois,Dystheatias simois,1950,1907,"(Fennah, 1950)"
Dystheatias,smaragdus,Dystheatias smaragdus,1950,1907,"Fennah, 1950"
Dystheatias,tafunae,Dystheatias tafunae,1967,1907,"Fennah, 1967"
Dystheatias,telamon,Dystheatias telamon,1956,1907,"Fennah, 1956"
Dystheatias,tyndaris,Dystheatias tyndaris,1956,1907,"Fennah, 1956"
Dystheatias,vitiensis,Dystheatias vitiensis,1907,1907,"(Kirkaldy, 1907)"
Dystheatias,zantheres,Dystheatias zantheres,1967,1907,"Fennah, 1967"
Dystheatias,zebrina,Dystheatias zebrina,1967,1907,"Fennah, 1967"
Eparmene,cubana,Eparmene cubana,1928,1904,"Myers, 1928"
Eparmene,pulchella,Eparmene pulchella,1904,1904,"Fowler, 1904"
Epaustraloma,simois,Epaustraloma simois,1950,1950,"Fennah, 1950"
Epoliarus,politus,Epoliarus politus,1910,1910,"Matsumura, 1910"
Eucarpia,africana,Eucarpia africana,1946,1857,"(Muir, 1946)"
Eucarpia,arcuigera,Eucarpia arcuigera,1859,1857,"(Stål, 1859)"
Eucarpia,australis,Eucarpia australis,1913,1857,"(Muir, 1913)"
Eucarpia,bicolor,Eucarpia bicolor,1870,1857,"(Walker, 1870)"
Eucarpia,brunnea,Eucarpia brunnea,1913,1857,"(Muir, 1913)"
Eucarpia,buxtoni,Eucarpia buxtoni,1927,1857,"(Muir, 1927)"
Eucarpia,communis,Eucarpia communis,1913,1857,"(Muir, 1913)"
Eucarpia,elisabethana,Eucarpia elisabethana,1962,1857,"(Synave, 1962)"
Eucarpia,fasciata,Eucarpia fasciata,1916,1857,"(Distant, 1916)"
Eucarpia,granulinervis,Eucarpia granulinervis,1913,1857,"(Muir, 1913)"
Eucarpia,insignis,Eucarpia insignis,1912,1857,"(Distant, 1912)"
Eucarpia,maculata,Eucarpia maculata,1913,1857,"(Muir, 1913)"
Eucarpia,maculipennis,Eucarpia maculipennis,1917,1857,"(Distant, 1917)"
Eucarpia,magna,Eucarpia magna,1913,1857,"(Muir, 1913)"
Eucarpia,marginata,Eucarpia marginata,1870,1857,"(Walker, 1870)"
Eucarpia,palliceps,Eucarpia palliceps,1870,1857,"(Walker, 1870)"
