nom_genre,nom_espece,nom_complet,annee_espece,annee_genre,autorite_espece
Andes,angulatus,Andes angulatus,1925,1866,"Muir, 1925"
Andes,angulatus,Andes angulatus,1953,1866,"Synave, 1953"
Andes,aulonias,Andes aulonias,1973,1866,"Linnavuori, 1973"
Andes,bakeri,Andes bakeri,1925,1866,"Muir, 1925"
Andes,bicolor,Andes bicolor,1925,1866,"Muir, 1925"
Andes,bilineatus,Andes bilineatus,1960,1866,"Synave, 1960"
Andes,bistriatus,Andes bistriatus,1960,1866,"Synave, 1960"
Andes,bokumensis,Andes bokumensis,1959,1866,"Synave, 1959"
Andes,brunneus,Andes brunneus,1925,1866,"Muir, 1925"
Andes,brunniceps,Andes brunniceps,1925,1866,"Muir, 1925"
Andes,buruensis,Andes buruensis,1926,1866,"(Schmidt, 1926)"
Andes,cloelia,Andes cloelia,1958,1866,"Fennah, 1958"
Andes,concinnus,Andes concinnus,1983,1866,"Van Stalle, 1983"
Andes,cucullatus,Andes cucullatus,1925,1866,"Muir, 1925"
Andes,decempunctatus,Andes decempunctatus,1982,1866,"Van Stalle, 1982"
Andes,decoloratus,Andes decoloratus,1925,1866,"Muir, 1925"
Andes,distinctus,Andes distinctus,1925,1866,"Muir, 1925"
Andes,dossenus,Andes dossenus,2007,1866,"Löcker, 2007"
Andes,dryas,Andes dryas,1973,1866,"Linnavuori, 1973"
Andes,dubiosus,Andes dubiosus,1925,1866,"Muir, 1925"
Andes,echidna,Andes echidna,1958,1866,"Fennah, 1958"
Andes,elongatus,Andes elongatus,1911,1866,"(Distant, 1911)"
Andes,fennahi,Andes fennahi,1959,1866,"Synave, 1959"
Andes,fictus,Andes fictus,1925,1866,"Muir, 1925"
Andes,formosanus,Andes formosanus,1914,1866,"(Matsumura, 1914)"
Andes,furcatus,Andes furcatus,1925,1866,"Muir, 1925"
Andes,fuscipennis,Andes fuscipennis,1983,1866,"Van Stalle, 1983"
Andes,fuscus,Andes fuscus,1984,1866,"Van Stalle, 1984"
Andes,garambaensis,Andes garambaensis,1963,1866,"Synave, 1963"
Andes,geometrinus,Andes geometrinus,1911,1866,"(Distant, 1911)"
Andes,goniodes,Andes goniodes,2001,1866,"Emeljanov, 2001"
Andes,guttatifrons,Andes guttatifrons,1985,1866,"Van Stalle, 1985"
Andes,guttatus,Andes guttatus,1983,1866,"Van Stalle, 1983"
Andes,hamatilis,Andes hamatilis,1983,1866,"Van Stalle, 1983"
Andes,hemina,Andes hemina,1978,1866,"Fennah, 1978"
Andes,humeralis,Andes humeralis,1870,1866,"(Walker, 1870)"
Andes,hypanis,Andes hypanis,1958,1866,"Fennah, 1958"
Andes,ikelus,Andes ikelus,2007,1866,"Löcker, 2007"
Andes,ikomai,Andes ikomai,1961,1866,"Ishihara, 1961"
Andes,inaequalis,Andes inaequalis,1925,1866,"Muir, 1925"
Andes,indistinctus,Andes indistinctus,1925,1866,"Muir, 1925"
Andes,inornatus,Andes inornatus,1911,1866,"(Distant, 1911)"
Andes,insolitus,Andes insolitus,1925,1866,"Muir, 1925"
Andes,kupei,Andes kupei,1986,1866,"Van Stalle, 1986"
Andes,lachesis,Andes lachesis,1956,1866,"Fennah, 1956"
Andes,lallemandi,Andes lallemandi,1953,1866,"Synave, 1953"
Andes,lamondensis,Andes lamondensis,2007,1866,"Löcker, 2007"
Andes,lamononi,Andes lamononi,1921,1866,"(Muir, 1921)"
Andes,largipennis,Andes largipennis,1986,1866,"Van Stalle, 1986"
Andes,lootensi,Andes lootensi,1959,1866,"Synave, 1959"
Andes,luzonensis,Andes luzonensis,1991,1866,"Tsaur & Hsu, 1991"
Andes,maculatus,Andes maculatus,1960,1866,"Synave, 1960"
Andes,maculifrons,Andes maculifrons,1925,1866,"Muir, 1925"
Andes,madangensis,Andes madangensis,1985,1866,"Van Stalle, 1985"
Andes,marginatus,Andes marginatus,1983,1866,"Van Stalle, 1983"
Andes,marmoratiformis,Andes marmoratiformis,1957,1866,"Ishihara, 1957"
Andes,marmoratus,Andes marmoratus,1896,1866,"(Uhler, 1896)"
Andes,mbami,Andes mbami,1986,1866,"Van Stalle, 1986"
Andes,meander,Andes meander,1851,1866,"(Walker, 1851)"
Andes,melanobasis,Andes melanobasis,1957,1866,"Ishihara, 1957"
Andes,mindanaensis,Andes mindanaensis,1925,1866,"Muir, 1925"
Andes,mitellatus,Andes mitellatus,1925,1866,"Muir, 1925"
Andes,moaensis,Andes moaensis,2007,1866,"Löcker, 2007"
Andes,monstruosus,Andes monstruosus,1953,1866,"Synave, 1953"
Andes,montis,Andes montis,1963,1866,"Synave, 1963"
Andes,muiri,Andes muiri,1955,1866,"Synave, 1955"
Andes,nexus,Andes nexus,1857,1866,"(Walker, 1857)"
Andes,noctua,Andes noctua,1956,1866,"Fennah, 1956"
Andes,notatus,Andes notatus,1991,1866,"Tsaur & Hsu, 1991"
Andes,nubilus,Andes nubilus,1858,1866,"(Walker, 1858)"
Andes,nzombeensis,Andes nzombeensis,1959,1866,"Synave, 1959"
Andes,ocellatus,Andes ocellatus,1925,1866,"Muir, 1925"
Andes,oldi,Andes oldi,1923,1866,"Muir, 1923"
Andes,ornatus,Andes ornatus,1925,1866,"Muir, 1925"
